df_cc_id,efx_total_income360,efx_non_salary_income360,spd_sd_age,exp_fin_debt_to_income_ratio,spd_change_in_income_12mo,spd_spendex_plus_v3,spd_home_purchase_price,spd_mortgage_amount,exp_financial_corporate_credit_card_user,exp_financial_credit_card_user,spd_bc_1st_contact_email,spd_bc_content_infographic,spd_bc_content_video,spd_channel_sd_banner_scale,spd_channel_sd_intertv_scale,spd_scr_email_dynabase,spd_bc_decision_maker,spd_bc_loc_hbb_office,spd_bc_prof_staff,spd_jobs_sd_blue_collar,spd_jobs_sd_corp_leader,spd_jobs_sd_middle_mgmt,spd_jobs_sd_retired,spd_jobs_sd_student,spd_sd_employment,spd_bc_purchase_price,spd_bc_purchase_quality,spd_generations_in_hh,spd_sd_children_in_hh_v2,spd_lt_senior_adult_in_hh_v2,spd_purch_social_awareness,spd_young_kids,spd_elementry_school_kids,spd_parent_of_a_teenager,propensity_spend_on_digital_media_flag,propensity_spend_online_commerce_flag,propensity_spend_instore_commerce_flag,propensity_spend_on_online_payment_flag,spd_investments_v2,spd_children_prod_back_school_v2,spd_presence_of_children_v2,spd_young_adult_in_hh_v2,exp_investment_property_add_investment_flag,exp_srvy_hh_lifestyl_financl_real_estate_currn,exp_srvy_hh_lifestyl_financial_real_estate__f,spd_marital_v2_single,spd_marital_v2_married,spd_marital_v2_divorced,spd_sd_education_v2,exp_fin_seg_credit_card_paydowns,exp_fin_seg_credit_card_surfers,spd_sd_homeowner_prob_v2,urbanicity,spd_cc_bankcard,spd_cc_travel,spd_ethnic_sd_v2_hispanic,spd_bc_contact_orient_v2_phone,spd_bc_contact_orient_v2_in_person,spd_bc_contact_orient_v2_email,exp_invest_active_investor,exp_invest_investor_mid_value,wealth_tier_id
9.1633E+18,582806,204396,22,3,20,100000,1057,752,65.65276963,3,7,5,2,5,3,68,2,2,6,1,1,1,1,7,5,2,5,3,1,5,6,0,0,1,0,1.1,1.615384615,3.5,1,0,1,1,0,0,0,0,1,0,3,0,0,3,2,0,0,0,0,0,1,10,6,3
5.34313E+16,522255,275791,22,1,12,37850,245,220,45,19,4,5,3,6,5,66,5,1,7,1,1,1,1,7,5,6,3,2,1,4,5,0,0,0,0.5,1.833333333,1.538461538,5.5,1,0,1,1,0,0,0,0,1,0,3,4,5,3,1,1,1,0,0,0,0,9,7,3
3.85675E+18,557031,53294,22,1,10,26046,318,254,12,4,6,4,4,4,4,53,1,5,4,1,1,1,1,7,4,6,3,1,3,2,6,0,0,1,0.5,1.366666667,3.846153846,4.5,1,0,1,1,0,0,0,1,0,0,3,4,5,3,2,0,0,0,0,0,0,7,3,3
8.05287E+18,1089704,810831,22,2,34,60541,0,0,65.65276963,45.36209494,3,5,5,2,4,50,6,3,4,1,1,1,7,1,6,4,6,1,0,6,7,0,0,0,1,1.5,2.153846154,4,1,0,0,1,0,0,0,1,0,0,2,0,0,5,2,0,0,0,0,0,0,6,6.372005492,3
6.66909E+18,592866,179897,22,5,16,82134,918,734,2,2,5,5,2,5,2,74,6,2,6,1,1,1,1,7,5,1,6,2,0,2,7,0,0,0,0.5,0.033333333,1.269230769,3.5,1,0,0,1,0,0,0,1,0,0,3,2,5,3,2,1,0,0,1,0,0,10,6,3
5.39959E+18,507347,206788,22,9,14,89661,437,350,12,4,6,5,3,2,2,68,5,1,6,1,1,1,1,7,5,6,6,1,2,3,7,0,0,1,0.5,1.566666667,2.076923077,5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,1,1,0,0,0,1,0,10,7,3
7.06295E+18,414619,109711,22,6,10,63024,0,0,30,12,4,5,2,2,4,37,5,3,3,1,1,1,1,7,5,6,5,2,1,5,7,0,0,0,0.5,1.766666667,1.961538462,5,1,0,1,1,0,0,0,1,0,0,4,3,5,4,2,1,0,0,0,0,0,9,8,3
5.97792E+18,449326,106917,22,9,11,53746,270,216,6,14,6,5,2,6,4,53,5,5,4,1,1,1,1,7,5,3,7,2,0,5,7,0,0,0,0,0,0.884615385,6.5,1,0,0,1,1,0,0,1,0,0,2,4,3,3,1,0,0,0,0,0,0,10,10,3
1.09733E+18,568358,213650,22,5,17,12831,980,784,71,71,4,5,4,5,3,64,6,1,6,1,1,1,1,7,6,7,7,3,1,5,6,0,0,1,0.5,0.033333333,2.230769231,8,1,0,1,1,0,0,0,0,1,0,3,5,0,3,2,0,1,0,0,0,0,7,7,3
4.36519E+18,468043,109801,22,2,8,27590,855,535,1,7,7,5,2,5,2,65,6,2,6,1,1,1,1,7,5,6,5,2,1,4,7,0,0,1,0.5,1.833333333,2.115384615,3.5,1,0,1,1,0,0,0,0,1,0,3,3,5,3,2,0,0,0,0,0,1,10,10,3
