df_cc_id,efx_total_income360,efx_non_salary_income360,spd_sd_age,exp_fin_debt_to_income_ratio,spd_change_in_income_12mo,spd_spendex_plus_v3,spd_home_purchase_price,spd_mortgage_amount,spd_spendex_education_v3,spd_charity_sd_highdollar_v2,exp_financial_corporate_credit_card_user,exp_financial_credit_card_user,exp_financial_major_credit_card_user,exp_financial_premium_credit_card_user,spd_bc_1st_contact_email,spd_bc_content_infographic,spd_bc_content_video,spd_channel_sd_banner_scale,spd_channel_sd_intertv_scale,spd_scr_email_dynabase,spd_bc_decision_maker,spd_bc_loc_hbb_office,spd_bc_prof_manager,spd_bc_prof_staff,spd_jobs_sd_blue_collar,spd_jobs_sd_corp_leader,spd_jobs_sd_retired,spd_jobs_sd_student,spd_bc_purchase_price,spd_bc_purchase_quality,spd_generations_in_hh,spd_sd_children_in_hh_v2,spd_lt_senior_adult_in_hh_v2,spd_purch_social_awareness,spd_young_kids,spd_elementry_school_kids,spd_parent_of_a_teenager,propensity_spend_on_digital_media_flag,propensity_spend_online_commerce_flag,propensity_spend_instore_commerce_flag,propensity_spend_on_online_payment_flag,spd_investments_v2,spd_children_prod_back_school_v2,spd_young_adult_in_hh_v2,exp_investment_property_add_investment_flag,spd_marital_v2_single,spd_marital_v2_married,spd_marital_v2_divorced,spd_sd_education_v2,exp_fin_seg_credit_card_surfers,spd_sd_homeowner_prob_v2,urbanicity,spd_cc_bankcard,spd_cc_travel,spd_cc_premium,spd_bc_contact_orient_v2_phone,spd_bc_contact_orient_v2_in_person,spd_bc_contact_orient_v2_email,exp_invest_active_investor,exp_invest_investor_mid_value,wealth_tier_id
4060709290465905470,110390,34284,32,9,3,7289,0,0,235,2,95,44,56,29,0,0,0,5,4,41,4,0,0,0,2,2,2,5,0,0,2.1461209161761494,0,4,4,1,1,0,3,5.2666666666666666,2.3461538461538463,5.5,1,0,0,0,1,0,0,2,0,4,1,0,0,0,0,0,0,5,5,2
5965969780222098982,122675,30401,36,5,1,8272,0,0,254,1,74,49,62,65,0,0,0,7,6,37,5,0,0,0,4,2,4,4,0,0,2.1461209161761494,1,3,6,0,1,0,1.5,1.4,4.2692307692307692,6,0,1,1,0,1,0,0,1,3,1,3,0,0,0,0,0,0,5,9,2
1496173573520585399,95652,15796,39,6,1,5244,116,115,199,3,65.652769628630836,84,84,73,0,0,0,5,7,46,4,0,0,0,3,2,4,6,0,0,2,1,4,3,0,0,0,3,5.7333333333333334,4.3461538461538458,6.5,0,1,0,0,1,0,0,3,0,3,3,0,0,0,0,0,0,2,2,2
15261830068878691,164698,33678,39,8,-1,15572,0,0,503,3,99,45.362094939218913,44.885213728092509,44.963610962807621,0,0,0,4,4,39,5,0,0,0,4,2,3,4,0,0,3,2,6,4,0,1,0,4,3.4333333333333331,2.0769230769230771,5,0,1,1,0,0,1,0,2,0,5,3,0,0,0,0,0,0,6,6.3720054917352105,2
1642139130806633723,359579,124304,46,8,2,7039,0,0,284,2,65,54,31,27,0,0,0,2,2,49,4,0,0,0,2,2,3,3,0,0,1,1,3,1,0,0,0,2.5,5.2,4.1538461538461542,5,1,0,0,0,1,0,0,2,0,4,2,0,0,0,0,0,0,7,8,2
2957310948651031068,311097,70422,56.736008711097547,3,1,11395,299,239,368,4,9,1,1,9,0,0,0,4,3,60,3,0,0,0,2,2,5,3,0,0,2.1461209161761494,0,4,5,0,0,0,0,2.7666666666666666,4,3,1,0,0,0,0,1,0,4,5,3,2,1,1,0,0,0,0,9,5,2
8368757664901045221,139301,28868,58,2,2,13538,0,0,437,4,82,22,33,30,0,0,0,6,3,65,2,0,0,0,1,1,1,1,0,0,3,0,6,4,1,1,0,3.5,3.2,4.384615384615385,3.5,1,0,1,0,0,1,0,3,3,5,2,0,0,0,0,0,0,9,6,2
1984260717478526749,248137,54704,60,8,2,8288,0,0,268,3,71,77,77,75,0,0,0,4,3,43,1,0,0,0,4,3,5,3,0,0,1,0,5,3,0,0,1,1.5,1.1,1.4230769230769231,5.5,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,0,0,1,3,2
7436062594494378468,192827,12902,63,6,2,19169,0,0,588,2,32,21,19,30,0,0,0,4,5,52,4,0,0,0,3,3,5,2,0,0,3,0,6,3,0,0,0,1.5,1.6666666666666667,3.1923076923076925,7,0,0,0,0,0,1,0,3,3,5,2,0,0,0,0,0,0,9,9,2
1061268958639914323,95069,14906,67,9,1,16556,66,65,535,4,99,82,71,76,0,0,0,3,1,39,1,0,0,0,1,7,1,1,0,0,1,0,7,3,0,0,0,1,0.066666666666666666,0,5.5,1,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,4,2,2
5543993687762630064,102029,26406,67,6,1,10296,0,0,333,2,99,65,44,79,0,0,0,3,3,46,1,0,0,0,1,1,1,1,0,0,1,0,7,1,0,0,0,0,0,0.73076923076923073,4.5,1,0,0,0,0,0,1,2,0,4,3,0,0,0,0,0,0,7,6,2
2958640443234306458,48368,19350,67,7,1,17699,0,0,572,1,96,62,53,65,0,0,0,6,2,39,3,0,0,0,4,3,6,3,0,0,2.1461209161761494,0,7,6,0,0,0,0,0,0,4.5,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,4,6,2
665832334357021304,95604,11954,68,3,1,10369,84,0,335,3,46,71,70,74,0,0,0,4,3,53,1,0,0,0,5,3,5,2,0,0,2,0,7,3,0,0,1,2,0.13333333333333333,0,4,1,0,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,8,6,2
6831864885136861528,145871,11133,70,5,1,10411,57,0,336,4,65.652769628630836,47,40,51,0,0,0,4,4,43,2,0,0,0,5,4,6,2,0,0,3,0,7,3,0,1,1,0,0,0,3.5,0,0,0,0,0,1,0,2,0,4,2,0,0,0,0,0,0,6,8,2
2193175323977501882,111070,24938,70,8,1,12559,114,85,406,4,99,45.362094939218913,44.885213728092509,44.963610962807621,0,0,0,3,2,50,1,0,0,0,4,3,6,4,0,0,1,0,7,3,0,0,0,0,1.0333333333333334,0.61538461538461542,4.5,1,0,0,0,0,0,1,3,1,3,2,0,0,0,0,0,0,6,6.3720054917352105,2
56098610818892326,129246,15833,72,8,1,8695,0,0,350,6,99,47,31,49,0,0,0,1,1,61,1,0,0,0,5,4,6,4,0,0,2,0,7,1,0,0,0,0,0,3.6538461538461537,5,1,0,0,0,0,1,0,3,2,3,2,0,0,0,0,0,0,7,9,2
7476239331486202258,152199,25004,75,7,2,8308,76,0,268,7,15,19,12,17,0,0,0,1,1,61,1,0,0,0,7,1,1,1,0,0,2,0,7,3,0,0,0,0,0,0,4.5,1,0,0,0,0,1,0,2,2,3,2,0,0,0,0,0,0,9,8,2
4240441541250727925,93926,18405,76,3,2,7288,0,0,235,3,14,11,16,10,0,0,0,4,4,39,1,0,0,0,6,3,6,2,0,0,1,0,7,1,0,0,0,0.5,0.033333333333333333,0,3,0,0,0,1,0,0,1,3,3,4,1,0,0,0,0,0,0,9,9,2
3859898233957855377,242737,57987,76,8,0,18957,0,0,764,5,99,81,72,81,0,0,0,5,5,44,1,0,0,0,2,3,6,2,0,0,3,0,7,4,0,0,0,6,0.4,3.6538461538461537,5.5,1,0,0,0,0,1,0,2,0,5,3,0,0,0,0,0,0,7,9,2
