df_cc_id,efx_total_income360,efx_non_salary_income360,spd_sd_age,exp_fin_debt_to_income_ratio,spd_change_in_income_12mo,spd_investor_sd_plus_v5_savings,spd_mortgage_amount,spd_home_to_income_ratio,spd_spendex_education_v3,spd_charity_sd_highdollar_v2,exp_financial_corporate_credit_card_user,exp_financial_credit_card_user,exp_financial_major_credit_card_user,exp_financial_store_credit_card_user,exp_financial_premium_credit_card_user,spd_bc_1st_contact_email,spd_bc_content_infographic,spd_bc_content_video,spd_channel_sd_banner_scale,spd_channel_sd_intertv_scale,spd_scr_email_dynabase,spd_bc_loc_hbb_office,spd_bc_prof_manager,spd_bc_prof_staff,spd_jobs_sd_blue_collar,spd_jobs_sd_middle_mgmt,spd_jobs_sd_retired,spd_jobs_sd_student,spd_sd_employment,spd_bc_purchase_price,spd_bc_purchase_quality,spd_generations_in_hh,spd_sd_lor_v2,spd_purch_prod_comp_quality,spd_purch_social_awareness,spd_young_kids,spd_elementry_school_kids,spd_parent_of_a_teenager,propensity_spend_on_digital_media_flag,propensity_spend_online_commerce_flag,propensity_spend_instore_commerce_flag,propensity_spend_on_online_payment_flag,spd_change_in_home_value_12_mo,spd_ratio_home_value_12mo_to_income,spd_investments_v2,spd_children_prod_back_school_v2,spd_presence_of_children_v2,spd_young_adult_in_hh_v2,exp_investment_property_add_investment_flag,spd_marital_v2_single,spd_marital_v2_married,spd_marital_v2_divorced,spd_sd_education_v2,exp_fin_seg_credit_card_paydowns,exp_fin_seg_credit_card_surfers,urbanicity,spd_cc_bankcard,spd_cc_travel,spd_ethnic_sd_v2_hispanic,spd_bc_contact_orient_v2_phone,spd_bc_contact_orient_v2_in_person,spd_bc_contact_orient_v2_email,exp_invest_active_investor,exp_invest_investor_mid_value,wealth_tier_id
7.90348E+18,74971,14354,23,2,2,6,0,436,608,1,88,94,80,86,83,0,0,0,6,7,25,0,0,0,2,2,2,4,5,0,0,2,8,6,7,0,0,0,1,2.433333333,3,5.5,13,21,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1
8.92532E+18,139082,25542,23,4,5,91,256,424,2890,4,65.65276963,81,70,97,75,5,5,3,4,2,43,7,4,7,3,2,2,4,4,7,5,3,20,3,6,0,0,1,0.5,0.033333333,3.153846154,5,27,18,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,1,0,1,2,1
7.67942E+17,34306,7726,23,2,5,16,165,413,1349,3,30,54,65,69,38,6,6,6,5,2,33,4,2,6,3,2,2,3,5,7,5,2,22,6,7,0,0,1,0.5,1.566666667,3.576923077,4.5,26,25,0,0,1,1,0,1,0,0,3,3,4,2,0,0,0,0,0,0,2,3,1
5.22598E+18,50030,8693,23,4,5,5,0,552.5538746,668,1,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,1,7,7,7,7,23,6,6,5,2,2,2,3,4,3,2,2.146120916,6,2,6,0,0,0,0.5,3.433333333,5.692307692,5.5,19.42174743,20.12384979,1,0,1,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,6,6.372005492,1
6.08492E+18,77173,12746,23,7,4,5,0,408,1306,1,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,3,7,7,5,6,25,5,7,4,2,2,2,5,4,6,3,1,13,6,7,0,0,0,0.5,1.433333333,3.230769231,5.5,19,27,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,6,6.372005492,1
8.74813E+18,57392,14412,24,8,1,5,0,281,100,1,92,98,93,93,77,0,0,0,5,6,26,0,0,0,3,2,4,3,3,0,0,2.146120916,0,3,7,1,0,0,0,4.166666667,5.153846154,5.5,0,0,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,0,1,1,1
5.71627E+18,77668,10373,24,6,3,6,0,422,1040,2,99,84,79,69,86,4,4,5,6,6,27,5,2,7,2,3,2,3,3,6,1,3,7,3,7,1,1,0,0.5,1.333333333,3.961538462,6.5,14,16,0,0,1,1,0,1,0,0,3,0,1,2,0,0,0,0,0,0,4,4,1
8.3425E+18,81892,10078,24,4,6,5,0,413,1527,2,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,4,6,6,7,7,39,1,7,7,2,2,2,3,5,6,3,2.146120916,5,4,6,0,0,0,0.5,1.266666667,2.076923077,3.5,32,27,1,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,0,0,6,6.372005492,1
6.2249E+18,109248,21382,25,5,3,5,0,494,967,1,38,70,42,89,67,2,7,7,6,5,28,3,7,7,2,2,4,3,7,5,3,3,25,5,7,0,0,0,0.5,1.9,3.653846154,6.5,15,24,0,0,0,1,0,1,0,0,2,1,4,2,0,0,0,0,0,0,2,3,1
3.94381E+18,43180,11857,25,2,2,5,0,552.5538746,1572,2,33,24,56,37,26,5,7,4,7,5,39,2,3,7,3,3,3,4,5,6,2,2,1,3,7,0,1,0,0.5,2.033333333,3.538461538,4,19.42174743,20.12384979,1,0,1,1,0,0,1,0,2,0,1,2,0,0,0,0,0,0,3,5,1
